"Key","en","fr","es","zh","hi","ar","pt","ru","ja","de","ko","tr","it","vi","pl","nl","th","cs","bn","id","ur","te","mr","ta","gu","uk","fil","ms","ro","hu","el","sv","da","no","fi","he","fa","ml"
"reset-bill-description","This will delete all items in the current bill","Cela supprimera tous les éléments de la facture actuelle","Esto eliminará todos los artículos en la factura actual.","这将删除当前账单中的所有项目","यह वर्तमान बिल में सभी वस्तुओं को हटा देगा","سيؤدي هذا إلى حذف جميع العناصر في الفاتورة الحالية","Isso excluirá todos os itens na conta atual","Это удалит все элементы в текущем счете","これにより、現在の請求書のすべてのアイテムが削除されます","Dadurch wird alle Artikel in der aktuellen Rechnung gelöscht","이것은 현재 청구서의 모든 품목을 삭제합니다","Bu, mevcut faturadaki tüm öğeleri silecektir","Verranno eliminati tutti gli articoli nello scontrino corrente","Điều này sẽ xóa tất cả các mục trong hóa đơn hiện tại","To usunie wszystkie elementy w bieżącym rachunku","Dit zal alle items in de huidige rekening verwijderen","สิ่งนี้จะลบรายการทั้งหมดในใบเรียกเก็บเงินปัจจุบัน","Tím se odstraní všechny položky v aktuálním účtu","এটি বর্তমান বিলে সমস্ত আইটেম মুছবে","Ini akan menghapus semua item dalam tagihan saat ini","یہ موجودہ بل میں تمام اشیاء کو حذف کردے گا","ఇది ప్రస్తుత బిల్లులోని అన్ని అంశాలను తొలగిస్తుంది","हे सध्याच्या बिलातील सर्व वस्तू हटवेल","இது தற்போதைய மசோதாவில் உள்ள அனைத்து பொருட்களையும் நீக்கிவிடும்","આ વર્તમાન બિલની બધી વસ્તુઓ કા delete ી નાખશે","Це видалить усі товари в поточному законопроекті","Tatanggalin nito ang lahat ng mga item sa kasalukuyang bayarin","Ini akan memadam semua item dalam bil semasa","Acest lucru va șterge toate articolele din factura curentă","Ez törli az aktuális számla összes elemet","Αυτό θα διαγράψει όλα τα στοιχεία του τρέχοντος λογαριασμού","Detta kommer att ta bort alla objekt i den nuvarande räkningen","Dette sletter alle poster i den nuværende regning","Dette vil slette alle elementene i gjeldende regning","Tämä poistaa kaikki nykyisen laskun kohteet","זה ימחק את כל הפריטים בחשבון הנוכחי","این کار همه موارد موجود در صورتحساب فعلی را حذف می کند","ഇത് നിലവിലെ ബില്ലിലെ എല്ലാ ഇനങ്ങളും ഇല്ലാതാക്കും"
"success-generate-loans","Success","Succès","Éxito","成功","सफलता","نجاح","Sucesso","Успех","成功","Erfolg","성공","Başarı","Prestiti creati","Thành công","Powodzenie","Succes","ความสำเร็จ","Úspěch","সাফল্য","Kesuksesan","کامیابی","విజయం","यश","வெற்றி","સફળતા","Успіх","Tagumpay","Kejayaan","Succes","Siker","Επιτυχία","Framgång","Succes","Suksess","Menestys","הַצלָחָה","موفقیت","പിന്തുടര്ച്ച"
"success-generate-loans-description","Created loan transactions from bill","Créé des transactions de prêt à partir de la facture","Transacciones de préstamo creadas a partir de la factura","从账单创建贷款交易","बिल से ऋण लेनदेन बनाया गया","تم إنشاء معاملات القروض من الفاتورة","Criou transações de empréstimo de Bill","Создал кредитные транзакции из законопроекта","請求書からのローン取引を作成しました","Erstellte Darlehenstransaktionen aus der Rechnung","Bill에서 대출 거래를 만들었습니다","Bill'den kredi işlemleri oluşturdu","Transazioni di prestito create dallo scontrino","Đã tạo các giao dịch cho vay từ hóa đơn","Utworzone transakcje pożyczkowe z rachunku","Leningtransacties van de rekening opgericht","สร้างธุรกรรมสินเชื่อจากบิล","Vytvořeno úvěrové transakce z účtu","বিল থেকে loan ণ লেনদেন তৈরি","Membuat transaksi pinjaman dari Bill","بل سے قرض کے لین دین کو پیدا کیا","బిల్ నుండి రుణ లావాదేవీలను సృష్టించింది","बिलातून कर्जाचे व्यवहार तयार केले","பில் இருந்து கடன் பரிவர்த்தனைகளை உருவாக்கியது","બિલમાંથી લોન વ્યવહારો બનાવ્યો","Створені кредитні операції від Білла","Nilikha ang mga transaksyon sa pautang mula sa Bill","Transaksi pinjaman yang dibuat dari Bill","Creat tranzacții de împrumut din Bill","Létrehozott hitel -tranzakciókat Bill -től","Δημιουργημένες συναλλαγές δανείου από το νομοσχέδιο","Skapade låntransaktioner från Bill","Oprettet lånetransaktioner fra Bill","Opprettet låntransaksjoner fra regningen","Luotu lainakaupat laskusta","יצר עסקאות הלוואה מחשבון","معاملات وام از صورتحساب ایجاد شده است","ബില്ലിൽ നിന്ന് വായ്പ ഇടപാടുകൾ സൃഷ്ടിച്ചു"
"missing-data","Missing data.","Données manquantes.","Datos perdidos.","缺失数据。","लापता आँकड़े।","بيانات مفقودة.","Dados ausentes.","Недостающие данные.","欠落データ。","Fehlende Daten.","누락 된 데이터.","Kayıp veri.","Dati mancanti.","Dữ liệu bị mất.","Brakujące dane.","Ontbrekende gegevens.","ข้อมูลที่ขาดหายไป","Chybějící data.","অনুপস্থিত তথ্য.","Data yang hilang.","ڈیٹا غائب","సమాచారం లేదు.","गहाळ डेटा.","காணாமல் தரவு.","ડેટા ખૂટે છે.","Відсутні дані.","Nawawalang data.","Data hilang.","Date lipsa.","Hiányzó adatok.","Δεδομένα που λείπουν.","Saknar data.","Manglende data.","Mangler data.","Puuttuvat tiedot.","מידע חסר.","داده های گمشده","ഡാറ്റ നഷ്ടമായി."
"generate-loan-transactions","Generate Loan Transactions","Générer des transactions de prêt","Generar transacciones de préstamos","产生贷款交易","ऋण लेनदेन उत्पन्न करें","إنشاء معاملات القروض","Gerar transações de empréstimos","Генерировать кредитные транзакции","ローン取引を生成します","Kredittransaktionen generieren","대출 거래를 생성합니다","Kredi işlemleri oluşturun","Genera transazioni di prestito","Tạo giao dịch cho vay","Generować transakcje pożyczkowe","Genereer leningtransacties","สร้างธุรกรรมสินเชื่อ","Generovat úvěrové transakce","Loan ণ লেনদেন উত্পন্ন করুন","Menghasilkan transaksi pinjaman","قرض کے لین دین پیدا کریں","రుణ లావాదేవీలను రూపొందించండి","कर्जाचे व्यवहार व्युत्पन्न करा","கடன் பரிவர்த்தனைகளை உருவாக்குங்கள்","લોન વ્યવહારો ઉત્પન્ન કરો","Генерувати кредитні операції","Bumuo ng mga transaksyon sa pautang","Menjana urus niaga pinjaman","Generați tranzacții de împrumut","Hitelügyletek generálása","Δημιουργία συναλλαγών δανείων","Generera låntransaktioner","Generere låne transaktioner","Generere låntransaksjoner","Luo lainatapahtumia","ליצור עסקאות הלוואה","معاملات وام ایجاد کنید","വായ്പ ഇടപാടുകൾ സൃഷ്ടിക്കുക"
"no-names-found","No names found.","Aucun nom trouvé.","No se encontraron nombres.","找不到名字。","कोई नाम नहीं मिला।","لم يتم العثور على أسماء.","Nenhum nome encontrado.","Имен не найдено.","名前は見つかりません。","Keine Namen gefunden.","이름이 없습니다.","İsim bulunamadı.","Nessun nome trovato.","Không tìm thấy tên.","Nie znaleziono nazwisk.","Geen namen gevonden.","ไม่พบชื่อ","Nalezena žádná jména.","কোনও নাম পাওয়া যায় নি।","Tidak ada nama yang ditemukan.","کوئی نام نہیں ملے۔","పేర్లు కనుగొనబడలేదు.","नावे सापडली नाहीत.","பெயர்கள் எதுவும் கிடைக்கவில்லை.","કોઈ નામ મળ્યાં નથી.","Імен не знайдено.","Walang nahanap na mga pangalan.","Tiada nama yang dijumpai.","Nu s -au găsit nume.","Nincs nevek.","Δεν βρέθηκαν ονόματα.","Inga namn hittades.","Ingen navne fundet.","Ingen navn funnet.","Ei nimiä.","לא נמצא שמות.","هیچ نامی پیدا نشده است.","പേരുകളൊന്നും കണ്ടെത്തിയില്ല."
"add-name","Add Name","Ajouter un nom","Agregar nombre","添加名称","नाम जोड़ें","اضف اسما","Adicione o nome","Добавить имя","名前を追加します","Namen hinzufügen","이름을 추가하십시오","İsim ekle","Aggiungi nome","Thêm tên","Dodaj nazwę","Naam toevoegen","เพิ่มชื่อ","Přidat jméno","নাম যুক্ত করুন","Tambahkan nama","نام شامل کریں","పేరు జోడించండి","नाव जोडा","பெயரைச் சேர்க்கவும்","નામ ઉમેરો","Додайте ім’я","Magdagdag ng pangalan","Tambah nama","Adăugați numele","Név hozzáadása","Προσθέστε όνομα","Lägga till namn","Tilføj navn","Legg til navn","Lisätä nimeä","הוסף שם","نام اضافه کردن","പേര് ചേർക്കുക"
"delete-name-question","Delete Name?","Supprimer le nom?","¿Eliminar el nombre?","删除名称？","नाम हटाएं?","حذف الاسم؟","Excluir nome?","Удалить имя?","名前を削除しますか？","Namen löschen?","이름 삭제?","Adı Sil?","Eliminare il nome?","Xóa tên?","Usuń nazwę?","Naam verwijderen?","ลบชื่อ?","Smazat název?","নাম মুছুন?","Hapus Nama?","نام حذف کریں؟","పేరును తొలగించాలా?","नाव हटवा?","பெயரை நீக்கவா?","નામ કા Delete ી નાખો?","Видалити ім'я?","Tanggalin ang pangalan?","Padam Nama?","Ștergeți numele?","Törölje a nevet?","Διαγραφή Όνομα;","Ta bort namn?","Slet navn?","Slette navn?","Poistaa nimi?","למחוק שם?","نام را حذف کنید؟","പേര് ഇല്ലാതാക്കണോ?"
"duplicate-name-warning","Duplicate name","Nom en double","Nombre duplicado","重复名称","डुप्लिकेट नाम","اسم مكرر","Nome duplicado","Дубликат имя","重複した名前","Doppelter Name","중복 이름","Yinelenen isim","Nome duplicato","Tên trùng lặp","Duplikat nazwy","Dubbele naam","ชื่อซ้ำ","Duplicitní jméno","সদৃশ নাম","Nama duplikat","ڈپلیکیٹ نام","నకిలీ పేరు","डुप्लिकेट नाव","நகல் பெயர்","નકલનું નામ","Дублікат назви","Dobleng pangalan","Nama pendua","Numele duplicat","Másolat név","Διπλότυπο όνομα","Duplikatnamn","Duplikatnavn","Dupliser navn","Päällekkäinen nimi","שם כפול","نام کپی","തനിപ്പകർപ്പ് നാമം"
"duplicate-name-warning-description","Please choose another name","Veuillez choisir un autre nom","Por favor elija otro nombre","请选择另一个名字","कृपया दूसरा नाम चुनें","الرجاء اختيار اسم آخر","Escolha outro nome","Пожалуйста, выберите другое имя","別の名前を選択してください","Bitte wählen Sie einen anderen Namen","다른 이름을 선택하십시오","Lütfen başka bir isim seçin","Scegli un altro nome","Vui lòng chọn tên khác","Wybierz inne imię","Kies een andere naam","กรุณาเลือกชื่ออื่น","Vyberte prosím jiné jméno","অন্য নাম চয়ন করুন","Pilih Nama Lain","براہ کرم دوسرا نام منتخب کریں","దయచేసి మరొక పేరును ఎంచుకోండి","कृपया दुसरे नाव निवडा","மற்றொரு பெயரைத் தேர்வுசெய்க","કૃપા કરીને બીજું નામ પસંદ કરો","Будь ласка, виберіть інше ім’я","Mangyaring pumili ng isa pang pangalan","Sila pilih nama lain","Vă rugăm să alegeți un alt nume","Kérjük, válasszon egy másik nevet","Επιλέξτε ένα άλλο όνομα","Välj ett annat namn","Vælg et andet navn","Velg et annet navn","Valitse toinen nimi","אנא בחר שם אחר","لطفا نام دیگری را انتخاب کنید","ദയവായി മറ്റൊരു പേര് തിരഞ്ഞെടുക്കുക"
"notifications-reminder","Add Transaction Reminder","Ajouter un rappel de transaction","Agregar recordatorio de transacción","添加交易提醒","लेनदेन अनुस्मारक जोड़ें","أضف تذكير المعاملات","Adicione o lembrete da transação","Добавить напоминание о транзакции","トランザクションリマインダーを追加します","Transaktionserinnerung hinzufügen","트랜잭션 알림을 추가하십시오","İşlem Hatırlatıcısı Ekle","Aggiungi promemoria","Thêm lời nhắc giao dịch","Dodaj przypomnienie transakcji","Toevoegen Transaction Herinnering","เพิ่มการแจ้งเตือนการทำธุรกรรม","Přidejte připomenutí transakce","লেনদেনের অনুস্মারক যুক্ত করুন","Tambahkan pengingat transaksi","ٹرانزیکشن کی یاد دہانی شامل کریں","లావాదేవీ రిమైండర్‌ను జోడించండి","व्यवहार स्मरणपत्र जोडा","பரிவர்த்தனை நினைவூட்டலைச் சேர்க்கவும்","ટ્રાન્ઝેક્શન રીમાઇન્ડર ઉમેરો","Додайте нагадування про транзакції","Magdagdag ng paalala sa transaksyon","Tambah peringatan transaksi","Adăugați memento de tranzacție","Adjon hozzá tranzakciós emlékeztetőt","Προσθήκη υπενθύμισης συναλλαγής","Lägg till transaktionspåminnelse","Tilføj transaktion påmindelse","Legg til påminnelse om transaksjon","Lisää transaktiomuistutus","הוסף תזכורת עסקה","یادآوری معامله را اضافه کنید","ഇടപാട് ഓർമ്മപ്പെടുത്തൽ ചേർക്കുക"
"notifications-reminder-type","Reminder Type","Type de rappel","Tipo de recordatorio","提醒类型","अनुस्मारक प्रकार","نوع التذكير","Tipo de lembrete","Тип напоминания","リマインダータイプ","Erinnerungstyp","알림 유형","Hatırlatma türü","Tipo di promemoria","Loại nhắc nhở","Typ przypomnienia","Type herinneringstype","ประเภทเตือนความจำ","Typ připomenutí","অনুস্মারক প্রকার","Tipe pengingat","یاد دہانی کی قسم","రిమైండర్ రకం","स्मरणपत्र प्रकार","நினைவூட்டல் வகை","રીલિડર પ્રકાર","Тип нагадування","Uri ng paalala","Jenis peringatan","Tip de memento","Emlékeztető típus","Υπενθύμιση","Påminnelsetyp","Påmindelsestype","Påminnelsestype","Muistutustyyppi","סוג תזכורת","نوع یادآوری","ഓർമ്മപ്പെടുത്തൽ തരം"
"daily-notification-type-if-not-opened","If the app was not already opened today","Si l'application n'était pas déjà ouverte aujourd'hui","Si la aplicación aún no se abrió hoy","如果该应用程序今天尚未打开","यदि ऐप आज पहले से नहीं खोला गया था","إذا لم يتم فتح التطبيق بالفعل اليوم","Se o aplicativo ainda não foi aberto hoje","Если приложение еще не было открыто сегодня","アプリが今日まだ開いていない場合","Wenn die App heute noch nicht eröffnet wurde","오늘 앱이 아직 열리지 않은 경우","Uygulama bugün henüz açılmamışsa","Se l'app non è già stata aperta oggi","Nếu ứng dụng chưa được mở hôm nay","Jeśli aplikacja nie została jeszcze otwarta dzisiaj","Als de app vandaag nog niet is geopend","หากแอปยังไม่เปิดในวันนี้","Pokud aplikace ještě nebyla otevřena","যদি অ্যাপটি ইতিমধ্যে ইতিমধ্যে খোলা না করা হয়েছিল","Jika aplikasi belum dibuka hari ini","اگر آج پہلے ہی ایپ نہیں کھولی تھی","అనువర్తనం ఇప్పటికే తెరవకపోతే","आज अ‍ॅप आधीच उघडला नसेल तर","பயன்பாடு ஏற்கனவே திறக்கப்படவில்லை என்றால்","જો એપ્લિકેશન આજે પહેલાથી ખોલવામાં આવી ન હતી","Якщо додаток сьогодні ще не було відкрито","Kung ang app ay hindi pa binuksan ngayon","Sekiranya aplikasi belum dibuka hari ini","Dacă aplicația nu a fost deja deschisă astăzi","Ha az alkalmazást még ma még nem nyitották meg","Εάν η εφαρμογή δεν είχε ήδη ανοίξει σήμερα","Om appen inte redan öppnades idag","Hvis appen ikke allerede var åbnet i dag","Hvis appen ikke allerede ble åpnet i dag","Jos sovellusta ei jo avattu tänään","אם האפליקציה כבר לא נפתחה היום","اگر امروز برنامه باز نشده بود","അപ്ലിക്കേഷൻ ഇതിനകം തുറന്നിട്ടില്ലെങ്കിൽ"
"daily-notification-type-one-day-from-open","24 hours from app opened","24 heures de l'application ouverte","24 horas desde la aplicación abierta","从应用程序开放24小时","ऐप से 24 घंटे खोले गए","تم فتح 24 ساعة من التطبيق","24 horas após o aplicativo aberto","24 часа после открытого приложения","アプリが開いてから24時間","24 Stunden von der App geöffnet","앱에서 24 시간 동안 열렸습니다","Uygulamadan 24 saat açıldı","24 ore dall'apertura dell'app","24 giờ từ ứng dụng được mở","24 godziny od otwartej aplikacji","24 uur van de geopende app","เปิด 24 ชั่วโมงจากแอป","Otevřeno 24 hodin od aplikace","অ্যাপ্লিকেশন থেকে 24 ঘন্টা খোলা","24 jam dari aplikasi dibuka","ایپ سے 24 گھنٹے کھل گئے","అనువర్తనం నుండి 24 గంటలు తెరవబడింది","अॅपपासून 24 तास उघडले","பயன்பாட்டிலிருந்து 24 மணிநேரம் திறக்கப்பட்டது","એપ્લિકેશનથી 24 કલાક ખોલ્યો","24 години від програми відкрили","24 na oras mula sa pagbukas ng app","24 jam dari aplikasi dibuka","La 24 de ore de la aplicație deschisă","24 órát nyitott alkalmazástól","24 ώρες από την εφαρμογή άνοιξε","24 timmar från appen öppnade","24 timer fra App åbnede","24 timer fra app åpnet","24 tuntia sovelluksesta avattiin","24 שעות מהאפליקציה נפתחה","24 ساعت از برنامه باز شد","അപ്ലിക്കേഷനിൽ നിന്ന് 24 മണിക്കൂർ തുറന്നു"
"daily-notification-type-everyday","Everyday","Tous les jours","Cada día","每天","रोज रोज","كل يوم","Diariamente","Каждый день","毎日","Täglich","매일","Her gün","Ogni giorno","Hằng ngày","Codziennie","Elke dag","ทุกวัน","Každý den","প্রতিদিন","Setiap hari","ہر روز","ప్రతి రోజు","रोज","தினமும்","દરરોજ","Повсякденний","Araw-araw","Setiap hari","În fiecare zi","Minden nap","Κάθε μέρα","Varje dag","Hver dag","Hver dag","Joka päivä","כל יום","هر روز","എല്ലാ ദിവസവും"
"consider-csv-template","Try again and consider using the provided CSV template.","Ressayez à nouveau et envisagez d'utiliser le modèle CSV fourni.","Intente nuevamente y considere usar la plantilla CSV proporcionada.","重试，考虑使用提供的CSV模板。","फिर से प्रयास करें और प्रदान किए गए CSV टेम्पलेट का उपयोग करने पर विचार करें।","حاول مرة أخرى والنظر في استخدام قالب CSV المقدم.","Tente novamente e considere usar o modelo CSV fornecido.","Попробуйте еще раз и рассмотрите возможность использования предоставленного шаблона CSV.","もう一度やり直して、提供されたCSVテンプレートの使用を検討してください。","Versuchen Sie es erneut und überlegen Sie, ob die bereitgestellte CSV -Vorlage verwendet wird.","다시 시도하고 제공된 CSV 템플릿을 사용하는 것을 고려하십시오.","Tekrar deneyin ve sağlanan CSV şablonunu kullanmayı düşünün.","Riprova e considera l'utilizzo del modello CSV fornito.","Hãy thử lại và xem xét sử dụng mẫu CSV được cung cấp.","Spróbuj ponownie i rozważ użycie dostarczonego szablonu CSV.","Probeer het opnieuw en overweeg het gebruik van de verstrekte CSV -sjabloon.","ลองอีกครั้งและพิจารณาใช้เทมเพลต CSV ที่ให้ไว้","Zkuste to znovu a zvažte použití poskytnuté šablony CSV.","আবার চেষ্টা করুন এবং প্রদত্ত সিএসভি টেম্পলেট ব্যবহার করে বিবেচনা করুন।","Coba lagi dan pertimbangkan untuk menggunakan template CSV yang disediakan.","دوبارہ کوشش کریں اور فراہم کردہ CSV ٹیمپلیٹ کو استعمال کرنے پر غور کریں۔","మళ్ళీ ప్రయత్నించండి మరియు అందించిన CSV టెంప్లేట్‌ను ఉపయోగించడాన్ని పరిగణించండి.","पुन्हा प्रयत्न करा आणि प्रदान केलेले सीएसव्ही टेम्पलेट वापरण्याचा विचार करा.","மீண்டும் முயற்சிக்கவும், வழங்கப்பட்ட CSV வார்ப்புருவைப் பயன்படுத்தவும்.","ફરીથી પ્રયાસ કરો અને પ્રદાન કરેલા સીએસવી નમૂનાનો ઉપયોગ કરવાનો વિચાર કરો.","Спробуйте ще раз і подумайте про використання наданого шаблону CSV.","Subukan muli at isaalang -alang ang paggamit ng ibinigay na template ng CSV.","Cuba lagi dan pertimbangkan untuk menggunakan templat CSV yang disediakan.","Încercați din nou și luați în considerare utilizarea șablonului CSV furnizat.","Próbálja újra, és fontolja meg a megadott CSV sablon használatát.","Δοκιμάστε ξανά και σκεφτείτε να χρησιμοποιήσετε το παρεχόμενο πρότυπο CSV.","Försök igen och överväg att använda den medföljande CSV -mallen.","Prøv igen og overvej at bruge den medfølgende CSV -skabelon.","Prøv igjen og vurder å bruke den medfølgende CSV -malen.","Yritä uudelleen ja harkitse toimitettua CSV -mallin käyttöä.","נסה שוב ושקול להשתמש בתבנית CSV שסופקה.","دوباره امتحان کنید و از الگوی CSV ارائه شده استفاده کنید.","വീണ്ടും ശ്രമിക്കുക, കൂടാതെ നൽകിയ CSV ടെംപ്ലേറ്റ് ഉപയോഗിക്കുന്നത് പരിഗണിക്കുക."
"template","Template","Modèle","Plantilla","模板","खाका","نموذج","Modelo","Шаблон","テンプレート","Vorlage","주형","Şablon","Modello","Bản mẫu","Szablon","Sjabloon","เทมเพลต","Šablona","টেমপ্লেট","Templat","سانچے","టెంప్లేట్","टेम्पलेट","வார்ப்புரு","ટેમ્પલેટ","Шаблон","Template","Templat","Șablon","Sablon","Πρότυπο","Mall","Skabelon","Mal","Sapluuna","תבנית","قالب","ടെംപ്ലേറ്റ്"
"enter-emoji","Enter Emoji","Entrez emoji","Ingresa emoji","输入表情符号","इमोजी दर्ज करें","أدخل الرموز التعبيرية","Digite emoji","Введите эмодзи","絵文字を入力してください","Geben Sie Emoji ein","이모티콘을 입력하십시오","Emoji girin","Inserisci Emoji","Nhập biểu tượng cảm xúc","Wprowadź emoji","Voer emoji in","เข้าสู่อีโมจิ","Zadejte emodži","ইমোজি প্রবেশ করান","Masukkan emoji","ایموجی داخل کریں","ఎమోజీని నమోదు చేయండి","इमोजी प्रविष्ट करा","ஈமோஜியை உள்ளிடவும்","ઇમોજી દાખલ કરો","Введіть Емоджі","Ipasok ang emoji","Masukkan emoji","Intră emoji","Írja be a hangulatjeleket","Εισαγάγετε το emoji","Ange emoji","Indtast emoji","Gå inn i emoji","Anna emoji","הזן אמוג'י","ایموجی ها را وارد کنید","ഇമോജിയിൽ പ്രവേശിക്കുക"
"enter-emoji-placeholder","Enter emoji","Entrez emoji","Ingresa emoji","输入表情符号","इमोजी दर्ज करें","أدخل الرموز التعبيرية","Digite emoji","Введите эмодзи","絵文字を入力してください","Geben Sie Emoji ein","이모티콘을 입력하십시오","Emoji girin","Inserisci Emoji","Nhập biểu tượng cảm xúc","Wprowadź emoji","Voer emoji in","เข้าสู่อีโมจิ","Zadejte emodži","ইমোজি প্রবেশ করান","Masukkan emoji","ایموجی داخل کریں","ఎమోజీని నమోదు చేయండి","इमोजी प्रविष्ट करा","ஈமோஜியை உள்ளிடவும்","ઇમોજી દાખલ કરો","Введіть Емоджі","Ipasok ang emoji","Masukkan emoji","Intră emoji","Írja be a hangulatjeleket","Εισαγάγετε το emoji","Ange emoji","Indtast emoji","Gå inn i emoji","Anna emoji","הזן אמוג'י","ایموجی ها را وارد کنید","ഇമോജിയിൽ പ്രവേശിക്കുക"
"use-emoji-details","Select an emoji of your choice as the icon","Sélectionnez un emoji de votre choix comme icône","Seleccione un emoji de su elección como icono","选择您选择的表情符号作为图标","आइकन के रूप में अपनी पसंद का एक इमोजी चुनें","حدد رموز تعبيرية من اختيارك كرمز","Selecione um emoji de sua escolha como o ícone","Выберите эмодзи по вашему выбору в качестве значка","アイコンとして選択した絵文字を選択します","Wählen Sie ein Emoji Ihrer Wahl als Symbol","선택한 이모티콘을 아이콘으로 선택하십시오","Simge olarak seçtiğiniz bir emoji seçin","Seleziona un'emoji di tua scelta come icona","Chọn một biểu tượng cảm xúc mà bạn chọn làm biểu tượng","Wybierz wybrane emoji jako ikonę","Selecteer een emoji van uw keuze als pictogram","เลือกอิโมจิที่คุณเลือกเป็นไอคอน","Jako ikonu vyberte emodži podle vašeho výběru","আইকন হিসাবে আপনার পছন্দের একটি ইমোজি নির্বাচন করুন","Pilih emoji pilihan Anda sebagai ikon","آئیکن کے بطور اپنی پسند کا ایک ایموجی منتخب کریں","మీకు నచ్చిన ఎమోజీని ఐకాన్ గా ఎంచుకోండి","चिन्ह म्हणून आपल्या आवडीची इमोजी निवडा","ஐகானாக உங்களுக்கு விருப்பமான ஒரு ஈமோஜியைத் தேர்ந்தெடுக்கவும்","આયકન તરીકે તમારી પસંદગીની ઇમોજી પસંદ કરો","Виберіть емоджи на ваш вибір як значок","Pumili ng isang emoji na iyong pinili bilang icon","Pilih emoji pilihan anda sebagai ikon","Selectați un emoji la alegere ca pictogramă","Válasszon egy választott hangulatjelet ikonként","Επιλέξτε ένα emoji της επιλογής σας ως εικονίδιο","Välj en emoji som du väljer som ikonen","Vælg en emoji efter eget valg som ikonet","Velg en emoji etter eget valg som ikon","Valitse valitsemasi emoji kuvakkeeksi","בחר אמוג'י לבחירתך כסמל","به عنوان نماد ایموجی مورد نظر خود را انتخاب کنید","നിങ്ങളുടെ ചോയിസിന്റെ ഒരു ഇമോജിയെ ഐക്കണായി തിരഞ്ഞെടുക്കുക"
"import-and-export","Import & Export","Importer / Exporter","Importación y exportación","进出口","आयात निर्यात","استيراد و تصدير","Importação e exportação","Импорт Экспорт","インポート・エクスポート","Import Export","수입 수출","İthalat ihracat","Importazione ed esportazione","Nhập khẩu xuất khẩu","Import Eksport","Importeren en exporteren","นำเข้าส่งออก","Import Export","আমদানি রপ্তানি","Ekspor Impor","درآمد برآمد","దిగుమతి ఎగుమతి","आयात निर्यात","இறக்குமதி ஏற்றுமதி","આયાત નિકાસ","Імпорт-експорт","I -import at I -export","Eksport import","Import Export","Import Export","Εισαγωγή εξαγωγή","Import Export","Import Eksport","Import Eksport","Tuonti ja vienti","יבוא ויצוא","واردات و صادرات","ഇറക്കുമതി കയറ്റുമതി"
"import-google-sheet","Import Google Sheet","Importer une feuille Google","Importar hoja de Google","导入Google表","Google शीट आयात करें","استيراد ورقة Google","Importar o Google Sheet","Импортировать Google Sheet","Googleシートをインポートします","Google Sheet importieren","Google 시트 가져 오기","Google sayfasını içe aktarın","Importa il foglio di Google","Nhập Google Sheet","Zaimportuj arkusz Google","Importeer Google -blad","นำเข้า Google Sheet","Importovat list Google","গুগল শীট আমদানি করুন","Impor Google Sheet","گوگل شیٹ درآمد کریں","గూగుల్ షీట్ దిగుమతి","गूगल शीट आयात करा","கூகிள் தாளை இறக்குமதி செய்க","ગૂગલ શીટ આયાત કરો","Імпортувати Google Leat","I -import ang Google Sheet","Import Lembaran Google","Importați foaia Google","Importáld a Google Sheet -t","Εισαγωγή στο φύλλο Google","Importera Google Sheet","Importer Google Sheet","Importer Google Sheet","Tuo Google -arkki","ייבא גיליון גוגל","وارد کردن برگه Google","Google ഷീറ്റ് ഇറക്കുമതി ചെയ്യുക"
"enter-google-sheet-url","Enter Google Sheet URL","Entrez l'URL de la feuille Google","Ingrese la URL de la hoja de Google","输入Google Sheep URL","Google शीट URL दर्ज करें","أدخل عنوان URL لـ Google Sheet","Digite URL do Google Sheet","Введите URL -адрес Google листа","GoogleシートURLを入力してください","Geben Sie die URL von Google Sheet ein","Google 시트 URL을 입력하십시오","Google Sayfası URL'sini girin","Inserisci l'URL di Google Sheet","Nhập URL Google Sheet","Wprowadź adres URL arkusza Google","Voer Google Sheet Url in","ป้อน URL ของ Google Sheet","Zadejte adresu URL listů Google","গুগল শীট ইউআরএল প্রবেশ করান","Masukkan URL Google Sheet","گوگل شیٹ یو آر ایل درج کریں","Google షీట్ URL ను నమోదు చేయండి","Google पत्रक URL प्रविष्ट करा","Google தாள் URL ஐ உள்ளிடவும்","ગૂગલ શીટ URL દાખલ કરો","Введіть URL -адресу Google Sheet","Ipasok ang Google Sheet URL","Masukkan URL Lembaran Google","Introduceți URL -ul Google Sheet","Írja be a Google Sheet URL -t","Εισαγάγετε τη διεύθυνση URL του φύλλου Google","Ange Google Sheet URL","Indtast Google Sheet URL","Skriv inn Google Sheet URL","Kirjoita Google -arkin URL -osoite","הזן את כתובת האתר של גוגל","URL Google Sheet را وارد کنید","Google ഷീറ്റ് URL നൽകുക"
